Id,preco
0,16161751.060406288
1,7667177.371969715
2,10357894.491261667
3,8285754.705306796
4,6236678.610189885
5,5745094.730230894
6,9812195.900512787
7,8725077.25223919
8,4976887.66461947
9,21581376.03444269
10,11647452.81013388
11,13178305.144712005
12,13433399.248304127
13,6615980.594593713
14,11313076.652203083
15,9524049.734786963
16,5863459.00884413
17,6414893.343880521
18,7593857.768241587
19,19282790.26500226
20,11137035.703183018
21,4098553.5905448482
22,6576088.133739536
23,5606125.952383143
24,5122130.5586520415
25,5307285.388207713
26,8330212.188553553
27,8007545.390287233
28,17889990.39971166
29,16069528.16777191
30,5362758.232861477
31,18829774.0606363
32,13621175.537400074
33,19238055.669129487
34,15203467.118615068
35,8243722.542952902
36,7276436.600403417
37,25687137.913518522
38,6693118.246907404
39,6470233.524828375
40,28099382.26798832
41,17721446.44881962
42,5837702.21765718
43,17841769.274913277
44,20584426.91231449
45,3252779.4761508526
46,51581276.20070747
47,8716082.756795581
48,6047040.363133284
49,7063981.42510132
50,7685433.02911746
51,5138082.454478496
52,13163053.538429491
53,15650612.859328207
54,12633913.666571684
55,6236449.483910012
56,9700138.776075475
57,5452463.890326342
58,16134074.188813038
59,26630371.851156242
60,24088166.57067822
61,8162778.81834818
62,13583845.298496675
63,33985629.859268084
64,6174838.098797049
65,8009592.172359344
66,8722011.791154942
67,13904802.263746887
68,11800800.872435695
69,7366368.05475415
70,27416913.32067878
71,4449521.296184728
72,9479331.29090717
73,12334801.69314095
74,5815894.08364018
75,26720886.449665524
76,6633959.926837645
77,8510425.612047924
78,5571419.84066991
79,6614475.051134261
80,7938452.867068717
81,6873449.625755801
82,5575147.395977497
83,18258389.10834625
84,31724163.515641738
85,8018817.638290086
86,6013643.308938029
87,9534564.28962178
88,8330212.188553553
89,5906477.697666823
90,11333300.500565866
91,11908319.948808448
92,4606853.45393652
93,4716338.596294227
94,2723497.1748300986
95,16688076.99715954
96,13425093.896825127
97,23324565.53388885
98,5583817.258973578
99,9149162.693598777
100,12260269.404003385
101,6239736.28621033
102,18032310.757051174
103,14847590.68807908
104,6393727.888285931
105,12714293.898103625
106,11813548.301905889
107,17542343.115973666
108,6149089.704369914
109,8484363.441979446
110,6802729.978107461
111,11714194.023439694
112,8402032.897795077
113,7186068.978795714
114,10523118.990648312
115,6900173.949014378
116,8788039.76694366
117,33900064.052458875
118,13259150.438257057
119,5899084.2872760715
