Id,preco
0,1552264.240043294
1,282352.6860100219
2,646274.2963464637
3,321634.9905351841
4,390929.8752615051
5,218114.18583100534
6,684609.8715845736
7,1073330.2381172646
8,333088.7402853174
9,928081.4235579262
10,661087.210724451
11,585502.4099409531
12,1074345.5743486374
13,357620.5120820791
14,870058.4527059247
15,612758.4238768694
16,400566.9671222433
17,374591.68228834344
18,363521.8926447069
19,835522.0393268489
20,852140.3923286714
21,349551.133054828
22,371603.70212639845
23,361004.1168382062
24,271851.1104219336
25,374670.7019794798
26,464510.51848581445
27,569326.9623675236
28,802370.3987787482
29,1107671.2903354508
30,342658.04815828695
31,1590320.5833028932
32,1450365.9538128143
33,1538515.9159553722
34,1135880.820845992
35,374437.24563117203
36,478070.7567194737
37,2953163.130550107
38,418598.32321066235
39,428504.8370495059
40,3274494.4883266957
41,806801.9926166226
42,373461.55527906434
43,1319609.3985633762
44,986623.9079825121
45,276419.8479603799
46,1493900.5150749364
47,578307.962833778
48,290110.59492499713
49,400600.6068481564
50,503625.919208725
51,351115.09349887073
52,778472.6338418013
53,841291.0255125642
54,948350.0816828175
55,390929.8752615051
56,609595.9373592358
57,385219.48487142695
58,865450.6515419222
59,1647794.9230863072
60,2796269.4353571385
61,556848.3395710632
62,1126891.6142774897
63,4116413.8341030297
64,428342.8246629903
65,419927.37075890735
66,594618.0814846476
67,10218837.03190153
68,844236.7528354012
69,310058.9966767686
70,2289951.9833234833
71,201919.48280432678
72,518037.1799932623
73,542372.9577556826
74,309646.2016252999
75,2452692.358912079
76,308478.73850866436
77,386527.6116336801
78,229587.9014711855
79,885528.7029327935
80,547892.872793267
81,406995.1443453095
82,351188.0890991232
83,1353531.7037613005
84,3308982.15240881
85,382766.4207564669
86,405526.39733641676
87,579645.4659101027
88,464510.51848581445
89,371699.6966076238
90,549809.0687520207
91,779932.8093170547
92,209870.50833967124
93,319324.2822829832
94,209499.36125760924
95,757915.1386348136
96,966526.9897191572
97,1825778.2500709319
98,350141.05403634754
99,638147.7536753468
100,510765.4125532224
101,390929.8752615051
102,1349036.5626325896
103,991986.931205134
104,427973.13843759225
105,802457.6891674158
106,856753.7654228284
107,1047121.7940212236
108,402778.27878878795
109,621026.7478600472
110,403554.2777089922
