Id,preco
0,1117062.9904699123
1,363407.01011754654
2,633520.1622485707
3,393807.77568026405
4,394596.2409976863
5,237228.80566102327
6,677619.3913180938
7,476769.4676578191
8,332406.93320535676
9,1272078.0547963786
10,694510.5100944305
11,684662.6093238036
12,952139.7175405959
13,382066.1318440263
14,748707.7179822626
15,566687.2046595372
16,374337.797349306
17,366441.25275097805
18,430442.9229769097
19,1041245.1605630273
20,707897.738707539
21,245976.5408628713
22,374065.04623175244
23,355099.7229719569
24,238896.46070017203
25,308760.4031100333
26,503642.92195837403
27,527441.2548831955
28,963788.4714729062
29,905381.4500550253
30,355668.9266564591
31,1266667.3736020008
32,999378.3545975501
33,1262535.3789606893
34,1097623.0159173005
35,462939.4179107334
36,483063.86371135386
37,1566599.2772963361
38,426579.65583738906
39,450528.41319929896
40,1670150.768365478
41,953155.0299552802
42,375100.2997181134
43,1187938.0413312812
44,1201640.660798266
45,180623.7006918853
46,3648760.710052692
47,526904.9154097971
48,307006.21575266076
49,445095.1192293842
50,473147.7480356155
51,340030.7266861186
52,700284.6397058705
53,892901.2855898411
54,881619.8851160777
55,400201.81328381825
56,574050.5776863622
57,394172.4307043594
58,944241.4341133547
59,1600575.4345705223
60,1519335.7531279826
61,530589.6848531205
62,915267.9230036271
63,2065987.286306925
64,396407.4146928491
65,484077.8718194437
66,545515.6238315578
67,964793.0077815523
68,738402.1780358853
69,396053.4519754047
70,1553335.7571711892
71,216795.89671823973
72,552695.1810476223
73,678251.9689160269
74,374244.46436916804
75,1687122.8228741423
76,343536.00749090663
77,465550.5680003261
78,264303.91785730585
79,420181.6036045577
80,525656.5120744365
81,464006.2182567573
82,333524.1697196046
83,1278177.8257123262
84,1885780.2387388216
85,452906.6290818939
86,388783.6212120449
87,558960.1805959947
88,503642.92195837403
89,376680.52326863713
90,634763.3949344831
91,799417.7102538685
92,218540.848371389
93,315362.7375241388
94,110326.60003489393
95,916973.7225857034
96,972776.9355323878
97,1476033.712335076
98,384829.6205754836
99,570736.3000011912
100,696013.6140849196
101,401193.21952816163
102,1203156.9278554858
103,819228.5883102675
